company_name,career_url,website,industry,category,country,state,headquarters,company_size,founded_year,ats_platform,ats_token,ats_confidence,ats_detection_method,internship_available,graduate_program,freshers_hiring,remote_friendly,ai_hiring_score,hiring_frequency,preferred_roles,preferred_technologies,tech_stack,career_status,last_verified_date,probe_status,job_count
100ms,https://www.100ms.live/,https://www.100ms.live/,Developer tools (live video SDK),saas,IN,Karnataka,Bengaluru,startup,Unknown,lever,100ms,0.95,page_body,Unknown,Unknown,Unknown,Yes,7,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,OK,1
AbhiBus,https://www.abhibus.com/careers,https://www.abhibus.com/,Bus Ticketing,travel,IN,Telangana,Hyderabad,mid,Unknown,smartrecruiters,AbhiBus,0.95,page_body,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; Data Analyst; QA Engineer,Python; SQL; Java,Python; SQL; Java,working,2026-07-22,OK,8
Bosch Global Software Technologies,https://www.bosch-india-software.com/en/careers/,https://www.bosch-india-software.com/,Automotive Software,automotive,IN,Karnataka,Bengaluru,enterprise,Unknown,smartrecruiters,BoschGroup,0.95,page_body,Unknown,Unknown,Unknown,Unknown,10,Unknown,Embedded Engineer; Software Engineer; Data Engineer; QA Engineer,C++; Python; AUTOSAR; MATLAB,C++; Python; AUTOSAR; MATLAB,redirect,2026-07-22,OK,4743
CRED,https://careers.cred.club,https://www.careers.cred.club/,FinTech,fintech,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,cred,0.85,seed,Unknown,Unknown,Unknown,Unknown,8,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,OK,1
Druva,https://www.druva.com/about/careers,https://www.druva.com/,SaaS,saas,IN,Maharashtra,"Pune, Maharashtra",large,Unknown,greenhouse,druva,0.85,seed,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,redirect,2026-07-22,OK,27
Fi Money,https://fi.money/careers,https://www.fi.money/,FinTech,fintech,IN,Karnataka,"Bengaluru, Karnataka",large,Unknown,lever,epifi,0.95,page_body,Unknown,Unknown,Unknown,Unknown,7,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,OK,1
Figma,https://www.figma.com/careers/,https://www.figma.com/,Software / Design,product,IN,Karnataka,Bengaluru,large,Unknown,greenhouse,figma,0.95,page_body,Unknown,Unknown,Unknown,Yes,8,Unknown,Software Engineer; ML Engineer; Data Scientist; SDET,Java; Python; Go; Kubernetes; ML,Java; Python; Go; Kubernetes; ML,working,2026-07-22,OK,178
Freshworks,https://www.freshworks.com/company/careers,https://www.freshworks.com/,SaaS,saas,IN,Tamil Nadu,"Chennai, Tamil Nadu",large,Unknown,smartrecruiters,Freshworks,0.95,page_body,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,OK,142
Glance (InMobi),https://www.glance.com/careers,https://www.glance.com/,Consumer internet,consumer,IN,Karnataka,Bengaluru,large,Unknown,greenhouse,glance,0.95,page_body,Unknown,Unknown,Unknown,Yes,8,Unknown,Backend Engineer; Data Scientist; Android Engineer; SDET,Java; Kotlin; Python; AWS; React,Java; Kotlin; Python; AWS; React,redirect,2026-07-22,OK,42
Hevo Data,https://hevodata.com/careers/,https://www.hevodata.com/,Data engineering (ELT pipelines),saas,IN,Karnataka,Bengaluru,mid,Unknown,lever,hevodata,0.95,page_body,Unknown,Unknown,Unknown,Yes,7,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,OK,1
