company_name,career_url,website,industry,category,country,state,headquarters,company_size,founded_year,ats_platform,ats_token,ats_confidence,ats_detection_method,internship_available,graduate_program,freshers_hiring,remote_friendly,ai_hiring_score,hiring_frequency,preferred_roles,preferred_technologies,tech_stack,career_status,last_verified_date,india_priority,ai_data_relevance,fresher_potential,url_confidence,recommended_for_ai_data,source,http_status,redirect_url,verified_career_url,discovered_ats_url,ats_tenant,ats_board,active_status
100ms,https://www.100ms.live/,https://www.100ms.live/,Developer tools (live video SDK),saas,IN,Karnataka,Bengaluru,startup,Unknown,lever,100ms,0.95,page_body,Unknown,Unknown,Unknown,Yes,7,Unknown,Backend Engineer; Full Stack Engineer; SDET; DevOps Engineer,Node.js; React; Python; AWS; Kubernetes,Node.js; React; Python; AWS; Kubernetes,working,2026-07-22,,,,,,,,,,,,,True
3i Infotech,https://www.3i-infotech.com/careers/,https://www.3i-infotech.com/,IT Services & Consulting,it_services,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Software Engineer; QA Engineer; Data Engineer,Java; Python; .NET; SQL; AWS,Java; Python; .NET; SQL; AWS,working,2026-07-22,,,,,,,,,,,,,True
3M India,https://www.3m.com/3M/en_US/careers-us/,https://www.3m.com/,Industrial / Materials,gcc,IN,Karnataka,Bengaluru,large,Unknown,workday,3m,0.95,page_body,Unknown,Unknown,Possible,Yes,5,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,unverified,2026-08-09,Tier 2,Medium,Possible,Verify,Monitor,indian_seed+mnc_excel_2026,0,,,,,,True
5C Network,https://5cnetwork.com/careers,https://www.5cnetwork.com/,Teleradiology / AI,ai_genai,IN,Karnataka,Bengaluru,startup,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,AI Engineer; ML Engineer; GenAI Engineer; NLP Engineer; Data Scientist,Python; PyTorch; LangChain; LLM; Transformers,Python; PyTorch; LangChain; LLM; Transformers,redirect,2026-07-22,,,,,,,,,,,,,True
5paisa Capital,https://www.5paisa.com/careers,https://www.5paisa.com/,WealthTech / Broking,fintech,IN,Maharashtra,Mumbai,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,6,Unknown,Backend Engineer; Data Engineer; SDET; ML Engineer,Java; Python; Kafka; AWS; SQL,Java; Python; Kafka; AWS; SQL,working,2026-07-22,,,,,,,,,,,,,True
A.P. Moller - Maersk India (GSC),https://www.maersk.com/careers,https://www.maersk.com/,Logistics / Shipping,gcc,IN,Maharashtra,Pune,enterprise,Unknown,Unknown,Unknown,0,none,Unknown,Unknown,Possible,Yes,7,Unknown,Software Engineer; ML Engineer; Data Engineer; SDET,Java; Python; AWS; Kubernetes; React,Java; Python; AWS; Kubernetes; React,working,2026-07-22,Tier 2,Medium,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
A23 (Head Digital Works),https://www.headdigitalworks.com/careers/,https://www.a23.com/,Online Gaming,gaming,IN,Telangana,Hyderabad,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; Game Developer; Data Scientist; SDET,Java; Unity; Python; AWS; Go,Java; Unity; Python; AWS; Go,unreachable,2026-07-22,,,,,,,,,,,,,True
Aavas Financiers,https://www.aavas.in/,https://www.aavas.in/,Housing Finance,bfsi,IN,Rajasthan,Jaipur,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Unknown,5,Unknown,Backend Engineer; Data Engineer; QA Engineer; Software Engineer,Java; Python; SQL; AWS; .NET,Java; Python; SQL; AWS; .NET,homepage_only,2026-07-22,,,,,,,,,,,,,True
Aays,https://www.aaysanalytics.com/careers,https://www.aaysanalytics.com/,Finance analytics,analytics_ai,IN,Karnataka,Bengaluru,mid,Unknown,Unknown,Unknown,Unknown,none,Unknown,Unknown,Unknown,Yes,6,Unknown,Data Scientist; Data Analyst; Analytics Engineer; ML Engineer,Python; SQL; Spark; Power BI; scikit-learn,Python; SQL; Spark; Power BI; scikit-learn,working,2026-07-22,,,,,,,,,,,,,True
ABB India,https://careers.abb/global/en/search-results,https://www.global.abb/,Electrification & Automation,manufacturing,IN,Karnataka,Bengaluru,enterprise,Unknown,workday,abb,0.95,page_body,Unknown,Unknown,Possible,Unknown,9,Unknown,Software Engineer; Data Engineer; QA Engineer,Python; SQL; SAP; IoT,Python; SQL; SAP; IoT,working,2026-07-22,Tier 2,Medium,Possible,High,Monitor,indian_seed+mnc_excel_2026,,,,,,,True
